time,context,like_count,comments_count,hashtags
2019-04-17 23:10:46,"Seeing DisneyNature's Penguins in IMAX! Always a tradition for me to see DisneyNature films at least once opening week to support conservation causes 
#penguins #disneynature #documentary #nature #animals #movies #film #youtuber #smallyoutuber #lgbt #lgbtq #gay #instagay #gaysofinstagram #bi #biboy #biguys #cute #adorable #disney",10,0,"['penguins', 'disneynature', 'documentary', 'nature', 'animals', 'movies', 'film', 'youtuber', 'smallyoutuber', 'lgbt', 'lgbtq', 'gay', 'instagay', 'gaysofinstagram', 'bi', 'biboy', 'biguys', 'cute', 'adorable', 'disney']"
2019-04-17 23:10:12,"Where’s your #tropical #oasis ?? #comment #tropicalpenguinclothing 🏝🐧⠀
.⠀
.⠀
.⠀
.⠀
#donate #charity #foragoodcause #fashionshop #summeroutfit #clothingboutique #clothinglabel #tropicallife #clothingshop #clothingonline #trendy #charitable #shopsmall #shopoholics #summerclothes #savethepenguins #beachclothes #beachlife #beachbum #penguins #clothingbrand #ethicalclothing #sustainableclothing #conservation #shopboutiques",30,0,"['tropical', 'oasis', 'comment', 'tropicalpenguinclothing', 'donate', 'charity', 'foragoodcause', 'fashionshop', 'summeroutfit', 'clothingboutique', 'clothinglabel', 'tropicallife', 'clothingshop', 'clothingonline', 'trendy', 'charitable', 'shopsmall', 'shopoholics', 'summerclothes', 'savethepenguins', 'beachclothes', 'beachlife', 'beachbum', 'penguins', 'clothingbrand', 'ethicalclothing', 'sustainableclothing', 'conservation', 'shopboutiques']"
2019-04-17 23:07:16,"RIP Tampa and Pittsburgh.
.
.
.
Lots of tags today.
.
#nhl #nhlmemes #nhlmeme #hockey #hockeymemes #stanleycupplayoffs #stanleycup #penguins #lightning #mapleleafs #leafs #capitals #capsmemes #islanders #newyorkislanders #pittsburghpenguins #columbusbluejackets #bluejackets #goon",5,0,"['nhl', 'nhlmemes', 'nhlmeme', 'hockey', 'hockeymemes', 'stanleycupplayoffs', 'stanleycup', 'penguins', 'lightning', 'mapleleafs', 'leafs', 'capitals', 'capsmemes', 'islanders', 'newyorkislanders', 'pittsburghpenguins', 'columbusbluejackets', 'bluejackets', 'goon']"
2019-04-17 23:00:57,"Catch you on the flip side! Follow Steve as he comes of age, struggles for survival, and experiences fatherhood. Did we mention Ed Helms is narrating? #DisneynaturePenguins⁣
⁣
⁣
⁣
@disneynature #Penguins #Penguin #Nature #NatureDocumentary #Documentary @edhelms #EdHelms #ShowcaseCinemas #Cute #Animal #Animals #DisneyNature  #ComingSoon #NowPlaying #Popcorn #KidsMovie #Movie #Movies #Photo #PhotoOfTheDay #Watching #MovieTheater #Popcorn",11,0,"['disneynaturepenguins', 'penguins', 'penguin', 'nature', 'naturedocumentary', 'documentary', 'edhelms', 'showcasecinemas', 'cute', 'animal', 'animals', 'disneynature', 'comingsoon', 'nowplaying', 'popcorn', 'kidsmovie', 'movie', 'movies', 'photo', 'photooftheday', 'watching', 'movietheater', 'popcorn']"
2019-04-17 22:59:52,#penguin #penguins #penguinsofantarctica #penguinsofinstagram #antarctica #Antarctica2019 #marathontours #oneoceanexpeditions #thetraveling_trooper #travel #seetheworld #seetheworldwithme #globetrotter #travelmore #keepexploring #exploremore #mybagsarepacked #passportready #livetotravel #wheretonext #wanderlust #snapbridge #nikon #nikond3500,7,0,"['penguin', 'penguins', 'penguinsofantarctica', 'penguinsofinstagram', 'antarctica', 'antarctica2019', 'marathontours', 'oneoceanexpeditions', 'thetraveling_trooper', 'travel', 'seetheworld', 'seetheworldwithme', 'globetrotter', 'travelmore', 'keepexploring', 'exploremore', 'mybagsarepacked', 'passportready', 'livetotravel', 'wheretonext', 'wanderlust', 'snapbridge', 'nikon', 'nikond3500']"
2019-04-17 23:14:25,"DF&A is excited for the premiere of the new PBS series BREAKTHROUGH, narrated by Patrick Stewart. Six episodes, each on a different world-changing invention, including tonight’s Telescope and, on May 8, the Car — hosted by our own @dannyforster. Have a look!

#dannyforster #breakthrough #pbs #innovation #inventions #patrickstewart #sirpatrickstewart #documentary",0,0,"['dannyforster', 'breakthrough', 'pbs', 'innovation', 'inventions', 'patrickstewart', 'sirpatrickstewart', 'documentary']"
2019-04-17 23:12:24,"We're thrilled to have actress @chrissymetz who stars in @breakthroughmovie (opening today) on our April cover! In our exclusive video she shares her very personal connection to Guideposts. You can read Chrissy's inspiring story and how she related to her role as mom Joyce Smith whose prayers helped save her son by clicking the link in our bio! .
.
.
Do you have a personal connection to the magazine? Has Guideposts made a difference in your life? Let us know in the comments below!
.
.
.
#chrissymetz #breakthrough #breakthroughmovie #thisisus #thisisme #inspiringactress #inspiringsinger #truestories #inspiringstories #inspiration #inspiremyinstagram #prayer #faith #hope #nevergiveup  #inspirational #inspiremyinstagram #positivevibes #goodvibes #positivity #positivethinker #powerofpositivethinking #guideposts #guidepostsmagazine",2,0,"['chrissymetz', 'breakthrough', 'breakthroughmovie', 'thisisus', 'thisisme', 'inspiringactress', 'inspiringsinger', 'truestories', 'inspiringstories', 'inspiration', 'inspiremyinstagram', 'prayer', 'faith', 'hope', 'nevergiveup', 'inspirational', 'inspiremyinstagram', 'positivevibes', 'goodvibes', 'positivity', 'positivethinker', 'powerofpositivethinking', 'guideposts', 'guidepostsmagazine']"
2019-04-17 23:11:35,"Spirit
#bonniealder #spirituality #spirit #spiritual #spiritualfreedom #breakthrough #change #freedom #motivation #motivationalquotes #qotd #quotestoliveby #quoteoftheday #truth #mywords #breathe #breatheagain #writersofinstagram #writingcommunity #writing #writer #timeheals #poetry #poetrycommunity",1,0,"['bonniealder', 'spirituality', 'spirit', 'spiritual', 'spiritualfreedom', 'breakthrough', 'change', 'freedom', 'motivation', 'motivationalquotes', 'qotd', 'quotestoliveby', 'quoteoftheday', 'truth', 'mywords', 'breathe', 'breatheagain', 'writersofinstagram', 'writingcommunity', 'writing', 'writer', 'timeheals', 'poetry', 'poetrycommunity']"
2019-04-17 23:09:56,Watching breakthrough #breakthrough #aloneinthemovies,0,0,"['breakthrough', 'aloneinthemovies']"
2019-04-17 23:08:32,"We have been apologizing since the dawn of time! It’s time for a new era, new paradigm, new woman! No more self shaming and making self smaller or limiting yourself from having the lover, job or opportunity you want. This past Sunday we created magic with our Unapologetically Woman Intensive! The intensive is now up in our shop, link in bio, and we cannot urge you enough to join us in freeing yourself and the collective from hundreds of years of bondage, beliefs and sooooo much more! #nomomfail #nomoremommymartyrs #selflove #women #womensrights #equality #transformation #findingyourpower #newearth #newparadigm #moms #healing #breakthrough #unapologetic",17,1,"['nomomfail', 'nomoremommymartyrs', 'selflove', 'women', 'womensrights', 'equality', 'transformation', 'findingyourpower', 'newearth', 'newparadigm', 'moms', 'healing', 'breakthrough', 'unapologetic']"
