news_id,user_name,screen_name,time_of_tweet,retweet_count,news_tweet,hashtags,hashtags_sensitive
1121460559545798657,Variety,Variety,Thu Apr 25 17:06:47 +0000 2019,6,#Wahlburgers renewed for 10th and final season at A&amp;E https://t.co/GEYGRkwi8s ,Wahlburgers,Wahlburgers
1121452307672174596,Variety,Variety,Thu Apr 25 16:34:00 +0000 2019,16,#AvengersEndgame: How theaters are preparing for the biggest Marvel movie yet https://t.co/xTWoib827w https://t.co/JQ9dhO8Aa2 ,AvengersEndgame,AvengersEndgame
1121444758302408704,Variety,Variety,Thu Apr 25 16:04:00 +0000 2019,2,Justin Bieber on the #Coachella lip-syncing controversy:  I sang to [the] backtrack like most cameos do  https://t.co/oXtrsPLNYN https://t.co/WMjLqePqPB ,Coachella,Coachella
1121440982619176960,Variety,Variety,Thu Apr 25 15:49:00 +0000 2019,16,The #Bond25 team revealed plot details and confirmed Billy Magnussen and Rami Malek for the cast... but we still don't have an official title https://t.co/2mXffEPoRs https://t.co/6SeJ7DtZJg ,Bond25,Bond25
1121433685100830720,Variety,Variety,Thu Apr 25 15:20:00 +0000 2019,6,Jussie Smollett's character got married on last night's #Empire| but his future on the show remains unclear https://t.co/SFO2gqToXz https://t.co/vVQTvDASAe ,Empire,Empire
1121430057946214402,Variety,Variety,Thu Apr 25 15:05:35 +0000 2019,23,Josh Brolin is as baffled as we are about *that* Ant-Man/Thanos #AvengersEndgame theory https://t.co/W62M126g0X https://t.co/7fXXNqnu3X ,AvengersEndgame,AvengersEndgame
1121426134762004482,Variety,Variety,Thu Apr 25 14:50:00 +0000 2019,14,Does #AvengersEndgame live up to the hype? Review: https://t.co/8TKX6c4b4O https://t.co/bSxDp15FuR ,AvengersEndgame,AvengersEndgame
1121422360148680706,Variety,Variety,Thu Apr 25 14:35:00 +0000 2019,26,#AvengersEndgame hasn't even been released in the U.S. yet| but it's already hit piracy sites https://t.co/OLoVrtIHrz https://t.co/bKunowkyls ,AvengersEndgame,AvengersEndgame
1121410783500312585,Variety,Variety,Thu Apr 25 13:49:00 +0000 2019,276,The #Bond25 filmmakers confirmed that Rami Malek will play the villain in the next 007 installment (but there's still no official title) https://t.co/2mXffEPoRs https://t.co/goq1NYpaQK ,Bond25,Bond25
1121345855749885953,Variety,Variety,Thu Apr 25 09:31:00 +0000 2019,28,Relive the #AvengersEndgame premiere https://t.co/vhiwfHYP9A https://t.co/rnKRtAM9ae ,AvengersEndgame,AvengersEndgame
1121323206403473408,Variety,Variety,Thu Apr 25 08:01:00 +0000 2019,10,Jussie Smollett made his last confirmed #Empire appearance https://t.co/YWOo6KkZz9 https://t.co/9EjsmCEBMT ,Empire,Empire
1121308107437760512,Variety,Variety,Thu Apr 25 07:01:00 +0000 2019,17,#AvengersEndgame is already making a mark in China https://t.co/vqZZxH3lLL https://t.co/yOQxnvAUIO ,AvengersEndgame,AvengersEndgame
1121270106607243267,Variety,Variety,Thu Apr 25 04:30:00 +0000 2019,2,Neil Meron excels not only on Broadway but on TV| where he brought one stage musical after another to unlikely success. He was recognized as part of 2018's #Variety500 presented by @verizondigital https://t.co/wyimci1xoh ,Variety500,Variety500
1121252218311593985,Variety,Variety,Thu Apr 25 03:18:55 +0000 2019,170,Kristen Stewart explains how the new #CharliesAngels is different than previous incarnations:  It feels really well-intentioned  https://t.co/kBwuSbtzB4 ,CharliesAngels,CharliesAngels
1121246355647680512,Variety,Variety,Thu Apr 25 02:55:37 +0000 2019,95,Laura Dern jokes that she  threw herself  at Meryl Streep's feet when she arrived on the #BigLittleLies set https://t.co/U8eRi9M5iD ,BigLittleLies,BigLittleLies
1121225059866226688,Variety,Variety,Thu Apr 25 01:31:00 +0000 2019,14,#GameofThrones: Cogman revealed that when he submitted his first draft of season 8's second episode| it came back from showrunners David Benioff and D. B. Weiss covered in red pen https://t.co/dhcauvgOtO ,GameofThrones,GameofThrones
1121221019371438080,Variety,Variety,Thu Apr 25 01:14:56 +0000 2019,7,Jussie Smollett's #Empire character ties the knot as actor's future on show is unclear https://t.co/rUJIy3IqzB ,Empire,Empire
1121197086471598083,Variety,Variety,Wed Apr 24 23:39:50 +0000 2019,116,The Disney+ series about Scarlet Witch will be taking place in the 1950s https://t.co/wkucyOc9ex #AvengersEndgame #WandaVision ,AvengersEndgame,AvengersEndgame
1121197086471598083,Variety,Variety,Wed Apr 24 23:39:50 +0000 2019,116,The Disney+ series about Scarlet Witch will be taking place in the 1950s https://t.co/wkucyOc9ex #AvengersEndgame #WandaVision ,WandaVision,WandaVision
1121484082167209984,Hollywood Reporter,THR,Thu Apr 25 18:40:16 +0000 2019,1,(cont.) Which of the original #Avengers will save the day in #AvengersEndgame? https://t.co/sdF9xdAxJm ,Avengers,Avengers
1121484082167209984,Hollywood Reporter,THR,Thu Apr 25 18:40:16 +0000 2019,1,(cont.) Which of the original #Avengers will save the day in #AvengersEndgame? https://t.co/sdF9xdAxJm ,AvengersEndgame,AvengersEndgame
1121484081529647105,Hollywood Reporter,THR,Thu Apr 25 18:40:15 +0000 2019,3,Which of the original #Avengers will save the day in #AvengersEndgame? https://t.co/sdF9xdAxJm ,Avengers,Avengers
1121484081529647105,Hollywood Reporter,THR,Thu Apr 25 18:40:15 +0000 2019,3,Which of the original #Avengers will save the day in #AvengersEndgame? https://t.co/sdF9xdAxJm ,AvengersEndgame,AvengersEndgame
1121484008141938688,Hollywood Reporter,THR,Thu Apr 25 18:39:58 +0000 2019,2,The #Deadwood movie trailer sets stage for a final showdown. Watch: https://t.co/G3GkFicKmH https://t.co/QJ39REDaA7 ,Deadwood,Deadwood
1121482397726511104,Hollywood Reporter,THR,Thu Apr 25 18:33:34 +0000 2019,12,Elisabeth Moss on #HerSmell and a feminist take on #TheInvisibleMan https://t.co/0nZg7ibsss https://t.co/Bww8Ozz7u3 ,HerSmell,HerSmell
1121482397726511104,Hollywood Reporter,THR,Thu Apr 25 18:33:34 +0000 2019,12,Elisabeth Moss on #HerSmell and a feminist take on #TheInvisibleMan https://t.co/0nZg7ibsss https://t.co/Bww8Ozz7u3 ,TheInvisibleMan,TheInvisibleMan
1121482219573452802,Hollywood Reporter,THR,Thu Apr 25 18:32:51 +0000 2019,2,Robert De Niro says #TheApollo opener is rejection of #Trump team  promoting divisiveness  #Tribeca https://t.co/VBSMw0VmKK https://t.co/o6hVymN2Yu ,TheApollo,TheApollo
1121482219573452802,Hollywood Reporter,THR,Thu Apr 25 18:32:51 +0000 2019,2,Robert De Niro says #TheApollo opener is rejection of #Trump team  promoting divisiveness  #Tribeca https://t.co/VBSMw0VmKK https://t.co/o6hVymN2Yu ,Trump,Trump
1121482219573452802,Hollywood Reporter,THR,Thu Apr 25 18:32:51 +0000 2019,2,Robert De Niro says #TheApollo opener is rejection of #Trump team  promoting divisiveness  #Tribeca https://t.co/VBSMw0VmKK https://t.co/o6hVymN2Yu ,Tribeca,Tribeca
1121481196897280000,Hollywood Reporter,THR,Thu Apr 25 18:28:48 +0000 2019,4,Rapper @LilNasX to appear at #Stagecoach with @billyraycyrus https://t.co/9Oj853rT4s https://t.co/lvpX4ha3KX ,Stagecoach,Stagecoach
1121480739609092097,Hollywood Reporter,THR,Thu Apr 25 18:26:59 +0000 2019,4,After #Deadpool2 set death| Fox settles with family of stuntperson Joi Harris https://t.co/y944U37wRf https://t.co/H4XMrWqOIw ,Deadpool2,Deadpool2
1121478048354684928,Hollywood Reporter,THR,Thu Apr 25 18:16:17 +0000 2019,24,The six founding #Avengers are on a collision course with destiny in #AvengersEndgame. As the end of the line draws near| go inside each of their journeys and discover @THR’s predictions for how their story will end: https://t.co/iwDEmiidup ,Avengers,Avengers
1121478048354684928,Hollywood Reporter,THR,Thu Apr 25 18:16:17 +0000 2019,24,The six founding #Avengers are on a collision course with destiny in #AvengersEndgame. As the end of the line draws near| go inside each of their journeys and discover @THR’s predictions for how their story will end: https://t.co/iwDEmiidup ,AvengersEndgame,AvengersEndgame
1121477463958155264,Hollywood Reporter,THR,Thu Apr 25 18:13:58 +0000 2019,5,Is there any chance that @ChrisEvans' star-spangled super soldier will make it out of #AvengersEndgame alive| against all the odds? @roundhoward predicts what is in store for #CaptainAmerica https://t.co/hFxNyKVmOX https://t.co/a9WYU4Frds ,AvengersEndgame,AvengersEndgame
1121477463958155264,Hollywood Reporter,THR,Thu Apr 25 18:13:58 +0000 2019,5,Is there any chance that @ChrisEvans' star-spangled super soldier will make it out of #AvengersEndgame alive| against all the odds? @roundhoward predicts what is in store for #CaptainAmerica https://t.co/hFxNyKVmOX https://t.co/a9WYU4Frds ,CaptainAmerica,CaptainAmerica
1121477436292632577,Hollywood Reporter,THR,Thu Apr 25 18:13:51 +0000 2019,6,Fandango says #AvengersEndgame has passed #StarWarsTheForceAwakens as the ticketing service's top pre-seller of all time https://t.co/6Saw0s1qPX https://t.co/2HmMAbrgyE ,AvengersEndgame,AvengersEndgame
1121477436292632577,Hollywood Reporter,THR,Thu Apr 25 18:13:51 +0000 2019,6,Fandango says #AvengersEndgame has passed #StarWarsTheForceAwakens as the ticketing service's top pre-seller of all time https://t.co/6Saw0s1qPX https://t.co/2HmMAbrgyE ,StarWarsTheForceAwakens,StarWarsTheForceAwakens
1121471373866668032,Hollywood Reporter,THR,Thu Apr 25 17:49:46 +0000 2019,7,In #TheCastleOnSunset — currently being adapted into an @HBO series by @johnkrasinski and Aaron Sorkin — Hollywood historian Shawn Levy retraces comedian #JohnBelushi final days inside the Chateau Marmont https://t.co/BEtGC6uprt https://t.co/cJbZKJ1cc8 ,TheCastleOnSunset,TheCastleOnSunset
1121471373866668032,Hollywood Reporter,THR,Thu Apr 25 17:49:46 +0000 2019,7,In #TheCastleOnSunset — currently being adapted into an @HBO series by @johnkrasinski and Aaron Sorkin — Hollywood historian Shawn Levy retraces comedian #JohnBelushi final days inside the Chateau Marmont https://t.co/BEtGC6uprt https://t.co/cJbZKJ1cc8 ,JohnBelushi,JohnBelushi
