,old_movie_id,movie_title,director_name,main_actor,genre
0,1,On the Road ,Walter Salles,Kristen Stewart,Adventure
1,2,Seven Years in Tibet ,Jean-Jacques Annaud,Brad Pitt,War
2,3,Enchanted ,Kevin Lima,Jeff Bennett,Romance
3,4,"Dancer, Texas Pop. 81 ",Tim McCanlies,Ethan Embry,Comedy
4,5,TMNT ,Kevin Munroe,Chris Evans,Adventure
5,6,Sunshine ,Danny Boyle,Chris Evans,Sci-Fi
6,7,Videodrome ,David Cronenberg,Debbie Harry,Horror
7,8,Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,Amy Poehler,Animation
8,9,UnDivided ,Sam Martin,Sam Adams,Documentary
9,10,Universal Soldier: The Return ,Mic Rodgers,Michael Jai White,Sci-Fi
10,11,Panic Room ,David Fincher,Kristen Stewart,Thriller
11,12,Taken 3 ,Olivier Megaton,Liam Neeson,Thriller
12,13,Sideways ,Alexander Payne,Virginia Madsen,Adventure
13,14,The Game of Their Lives ,David Anspaugh,Gerard Butler,Drama
14,15,Poultrygeist: Night of the Chicken Dead ,Lloyd Kaufman,John Karyus,Comedy
15,16,Antitrust ,Peter Howitt,Tyler Labine,Action
16,17,Victor Frankenstein ,Paul McGuigan,Daniel Radcliffe,Thriller
17,18,Sinister 2 ,Ciarán Foy,Laila Haley,Mystery
18,19,Megamind ,Tom McGrath,J.K. Simmons,Animation
19,20,High Fidelity ,Stephen Frears,Drake Bell,Drama
20,21,Secondhand Lions ,Tim McCanlies,Haley Joel Osment,Comedy
21,22,De-Lovely ,Irwin Winkler,Kevin McNally,Music
22,23,Gigli ,Martin Brest,Todd Giebenhain,Romance
23,24,Dance Flick ,Damien Dante Wayans,Damon Wayans Jr.,Comedy
24,25,Kiss the Girls ,Gary Fleder,Morgan Freeman,Crime
25,26,Independence Day ,Roland Emmerich,Will Smith,Action
26,27,Doogal ,Dave Borthwick,Jimmy Fallon,Family
27,28,A Dog of Flanders ,Kevin Brodie,Bruce McGill,Family
28,29,Against the Wild ,Richard Boddington,Natasha Henstridge,Family
29,30,Cloverfield ,Matt Reeves,Mike Vogel,Action
30,31,The Secret Life of Walter Mitty ,Ben Stiller,Adam Scott,Adventure
31,32,I Think I Love My Wife ,Chris Rock,Steve Buscemi,Drama
32,33,The Country Bears ,Peter Hastings,Haley Joel Osment,Comedy
33,34,Queen of the Mountains ,Sadyk Sher-Niyaz,Elina Abai Kyzy,Biography
34,35,"Welcome Home, Roscoe Jenkins ",Malcolm D. Lee,Mo'Nique,Romance
35,36,In the Shadow of the Moon ,David Sington,John F. Kennedy,History
36,37,All the King's Men ,Steven Zaillian,Kate Winslet,Thriller
37,38,Chasing Papi ,Linda Mendoza,Carlos Ponce,Romance
38,39,Meteor ,Ronald Neame,Martin Landau,Drama
39,40,Treasure Planet ,Ron Clements,Joseph Gordon-Levitt,Adventure
40,41,Total Recall ,Paul Verhoeven,Ronny Cox,Action
41,42,Ravenous ,Antonia Bird,Jeremy Davies,Fantasy
42,43,John Q ,Nick Cassavetes,Denzel Washington,Thriller
43,44,A Guy Named Joe ,Victor Fleming,Spencer Tracy,War
44,45,The Five-Year Engagement ,Nicholas Stoller,Alison Brie,Comedy
45,46,The Nutcracker ,Emile Ardolino,Darci Kistler,Family
46,47,Alien ,Ridley Scott,Tom Skerritt,Horror
47,48,Hannibal Rising ,Peter Webber,Li Gong,Crime
48,49,Automata ,Gabe Ibáñez,Birgitte Hjort Sørensen,Thriller
49,50,Galaxy Quest ,Dean Parisot,Alan Rickman,Comedy
50,51,Wall Street: Money Never Sleeps ,Oliver Stone,Frank Langella,Drama
51,52,All That Jazz ,Bob Fosse,Roy Scheider,Music
52,53,Must Love Dogs ,Gary David Goldberg,Stockard Channing,Romance
53,54,Ernest & Celestine ,Stéphane Aubier,Mackenzie Foy,Comedy
54,55,Glee: The 3D Concert Movie ,Kevin Tancharoen,Lea Michele,Documentary
55,56,Wonder Boys ,Curtis Hanson,Robert Downey Jr.,Drama
56,57,Legal Eagles ,Ivan Reitman,Brian Dennehy,Romance
57,58,Red Lights ,Rodrigo Cortés,Robert De Niro,Thriller
58,59,Aquamarine ,Elizabeth Allen Rosenbaum,Tammin Sursok,Comedy
59,60,Hocus Pocus ,Kenny Ortega,Vinessa Shaw,Fantasy
60,61,Déjà Vu ,Henry Jaglom,Vanessa Redgrave,Romance
61,62,The Blind Side ,John Lee Hancock,Catherine Dyer,Drama
62,63,Speed Racer ,Lana Wachowski,Scott Porter,Action
63,64,The Importance of Being Earnest ,Oliver Parker,Colin Firth,Comedy
